id,carat,cut,color,clarity,depth,table,x,y,z,cut_encoded,color_encoded,clarity_encoded
32,1.04,Premium,I,SI1,61.8,60.0,6.51,6.47,4.01,1,1,2
33,0.3,Premium,H,SI1,61.3,61.0,4.27,4.25,2.61,1,2,2
34,2.08,Very Good,D,SI2,60.1,59.0,8.29,8.37,5.01,3,5,0
35,1.0,Very Good,H,VS2,64.7,56.0,6.23,6.29,4.05,3,2,3
36,1.58,Very Good,G,SI2,60.0,53.0,7.59,7.64,4.57,3,3,0
37,0.7,Very Good,E,SI2,63.2,61.0,5.62,5.59,3.54,3,6,0
38,1.66,Ideal,H,IF,61.5,57.0,7.59,7.62,4.68,4,2,7
39,2.03,Premium,G,SI1,61.3,59.0,8.11,8.08,4.96,1,3,2
40,1.51,Very Good,E,SI2,58.8,58.0,7.53,7.61,4.45,3,6,0
41,0.9,Ideal,G,VS2,62.0,57.0,6.22,6.19,3.85,4,3,3
42,0.54,Premium,H,SI1,61.0,58.0,5.27,5.23,3.2,1,2,2
43,0.91,Premium,F,VS2,62.2,58.0,6.21,6.17,3.85,1,4,3
44,0.5,Premium,G,VS1,60.3,60.0,5.1,5.08,3.07,1,3,4
45,0.3,Ideal,F,SI1,62.9,57.0,4.27,4.25,2.68,4,4,2
46,0.34,Very Good,E,SI2,61.7,61.0,4.47,4.51,2.77,3,6,0
47,2.15,Very Good,I,SI2,63.4,56.0,8.2,8.15,5.18,3,1,0
48,1.23,Ideal,H,VS2,62.2,55.0,6.85,6.81,4.25,4,2,3
49,1.04,Very Good,E,SI1,59.6,59.0,6.56,6.59,3.92,3,6,2
50,0.51,Very Good,G,VVS2,62.2,56.0,5.1,5.13,3.18,3,3,5
51,0.4,Very Good,F,VVS1,62.9,55.0,4.71,4.74,2.97,3,4,6
52,0.52,Ideal,F,VVS1,59.8,59.0,5.21,5.25,3.13,4,4,6
53,0.7,Very Good,F,SI1,61.7,61.0,5.67,5.7,3.51,3,4,2
54,0.42,Premium,F,VS1,60.9,59.0,4.85,4.8,2.94,1,4,4
55,0.32,Ideal,E,VVS2,61.9,54.0,4.41,4.44,2.74,4,6,5
56,1.2,Good,F,VS2,63.8,60.0,6.6,6.65,4.23,2,4,3
57,1.51,Premium,H,VVS1,60.6,60.0,7.42,7.4,4.49,1,2,6
58,0.32,Ideal,E,VS2,61.5,55.0,4.43,4.38,2.71,4,6,3
59,0.43,Premium,I,IF,61.2,58.0,4.88,4.83,2.97,1,1,7
60,0.6,Ideal,H,VS2,62.1,55.0,5.42,5.46,3.38,4,2,3
61,1.01,Ideal,E,SI2,62.2,56.0,6.42,6.45,4.0,4,6,0
62,0.31,Ideal,D,VS2,61.8,56.0,4.39,4.35,2.7,4,5,3
63,0.7,Very Good,D,SI1,63.7,60.0,5.57,5.61,3.56,3,5,2
64,0.78,Premium,D,SI1,60.4,57.0,6.02,5.97,3.62,1,5,2
65,0.54,Ideal,E,VS2,62.2,55.0,5.24,5.21,3.25,4,6,3
66,1.5,Very Good,I,IF,62.9,58.0,7.21,7.31,4.57,3,1,7
67,0.8,Very Good,D,SI1,58.2,63.0,6.07,6.03,3.52,3,5,2
68,0.7,Good,H,VS2,64.2,58.0,5.58,5.61,3.59,2,2,3
69,0.75,Ideal,F,VS2,62.5,57.0,5.78,5.83,3.63,4,4,3
70,1.5,Premium,F,VS2,61.3,58.0,7.36,7.31,4.5,1,4,3
71,0.43,Good,J,SI2,63.7,57.0,4.79,4.76,3.04,2,0,0
72,0.35,Premium,F,VS2,61.4,59.0,4.53,4.56,2.79,1,4,3
73,0.74,Ideal,E,SI1,61.6,54.0,5.82,5.9,3.61,4,6,2
74,0.32,Very Good,H,VVS2,61.6,55.0,4.42,4.44,2.73,3,2,5
75,0.33,Ideal,E,VS1,60.6,57.0,4.49,4.52,2.73,4,6,4
76,0.32,Ideal,F,VS1,61.3,56.0,4.44,4.4,2.71,4,4,4
77,1.51,Very Good,I,SI1,61.4,60.0,7.37,7.33,4.51,3,1,2
78,0.41,Ideal,H,SI1,61.2,57.0,4.78,4.76,2.92,4,2,2
79,0.7,Premium,I,SI2,62.1,60.0,5.65,5.62,3.5,1,1,0
80,0.77,Ideal,I,VS1,61.4,56.0,5.9,5.93,3.63,4,1,4
81,0.3,Ideal,G,VVS2,62.2,54.0,4.29,4.33,2.68,4,3,5
82,1.01,Very Good,F,SI2,63.2,58.0,6.43,6.3,4.02,3,4,0
83,0.43,Good,F,VS1,63.4,57.0,4.76,4.8,3.03,2,4,4
84,1.12,Ideal,J,SI2,62.5,57.0,6.63,6.59,4.13,4,0,0
85,0.32,Ideal,I,VS2,63.0,57.0,4.37,4.33,2.74,4,1,3
86,0.5,Ideal,E,SI1,60.1,57.0,5.14,5.27,3.13,4,6,2
87,0.5,Very Good,E,SI2,58.0,63.0,5.22,5.19,3.02,3,6,0
88,0.76,Ideal,G,SI1,61.2,57.0,5.85,5.9,3.59,4,3,2
89,1.03,Good,J,SI1,63.6,57.0,6.38,6.29,4.03,2,0,2
90,0.29,Very Good,G,VVS1,61.5,57.0,4.24,4.27,2.62,3,3,6
91,1.0,Very Good,H,SI1,62.1,58.0,6.44,6.45,4.0,3,2,2
92,0.43,Ideal,G,IF,61.8,56.0,4.86,4.88,3.01,4,3,7
93,0.32,Premium,I,VVS2,61.9,59.0,4.38,4.35,2.7,1,1,5
94,1.11,Ideal,E,VVS2,62.9,55.0,6.56,6.62,4.14,4,6,5
95,0.7,Ideal,G,VS1,61.2,56.0,5.71,5.75,3.5,4,3,4
96,0.34,Ideal,G,VS2,62.2,55.0,4.5,4.47,2.79,4,3,3
97,0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,3,1,5
98,0.42,Premium,D,SI2,62.1,59.0,4.82,4.78,2.98,1,5,0
99,0.3,Premium,D,SI1,62.1,59.0,4.31,4.29,2.67,1,5,2
100,1.02,Very Good,G,VS1,62.0,59.0,6.39,6.45,3.98,3,3,4
101,0.3,Ideal,D,VS2,61.3,56.0,4.32,4.36,2.66,4,5,3
102,0.35,Premium,F,VS2,61.9,58.0,4.54,4.48,2.79,1,4,3
103,1.5,Very Good,D,SI1,63.1,57.0,7.31,7.24,4.59,3,5,2
104,1.2,Very Good,F,IF,62.3,60.0,6.74,6.8,4.22,3,4,7
105,0.94,Premium,H,VS2,60.1,59.0,6.35,6.32,3.81,1,2,3
106,1.16,Premium,G,SI2,62.6,58.0,6.72,6.66,4.19,1,3,0
107,0.85,Ideal,E,SI2,60.1,56.0,6.17,6.18,3.71,4,6,0
108,0.32,Ideal,G,VVS2,62.0,54.0,4.39,4.42,2.73,4,3,5
109,0.34,Premium,G,SI1,60.8,59.0,4.56,4.46,2.74,1,3,2
110,0.57,Very Good,E,VS2,61.0,57.0,5.33,5.35,3.26,3,6,3
111,1.3,Very Good,F,SI2,61.1,58.0,6.98,7.02,4.28,3,4,0
112,2.01,Premium,I,VS2,60.5,60.0,8.17,8.15,4.94,1,1,3
113,0.32,Very Good,F,VS2,59.7,62.0,4.38,4.43,2.63,3,4,3
114,0.54,Ideal,G,VS1,62.0,56.0,5.21,5.24,3.24,4,3,4
115,0.31,Premium,E,SI1,62.7,58.0,4.32,4.35,2.72,1,6,2
116,1.24,Ideal,G,VS1,61.8,55.0,6.85,6.89,4.25,4,3,4
117,0.73,Premium,I,SI2,59.2,58.0,5.9,5.85,3.47,1,1,0
118,0.31,Premium,G,VVS1,60.5,60.0,4.4,4.33,2.64,1,3,6
119,0.93,Ideal,E,SI1,61.9,56.0,6.24,6.27,3.87,4,6,2
120,0.52,Very Good,E,VS2,61.5,58.0,5.18,5.24,3.2,3,6,3
121,0.3,Very Good,G,VS1,62.9,60.0,4.26,4.29,2.69,3,3,4
122,0.72,Premium,D,SI1,61.4,59.0,5.71,5.79,3.53,1,5,2
123,1.03,Premium,I,SI1,61.6,59.0,6.46,6.49,3.99,1,1,2
124,1.14,Premium,I,SI1,62.2,58.0,6.7,6.67,4.16,1,1,2
125,0.54,Ideal,F,VVS2,61.0,54.0,5.28,5.3,3.23,4,4,5
126,0.3,Ideal,G,SI1,62.2,57.0,4.26,4.29,2.66,4,3,2
127,1.39,Very Good,I,I1,62.6,57.0,7.1,7.15,4.46,3,1,1
128,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,2,6,3
129,1.06,Very Good,I,SI1,62.8,56.0,6.47,6.52,4.08,3,1,2
130,1.01,Very Good,F,SI2,62.7,59.0,6.35,6.4,4.0,3,4,0
131,0.3,Ideal,E,VVS1,62.6,54.0,4.28,4.31,2.69,4,6,6
132,0.72,Ideal,E,SI1,61.0,57.0,5.77,5.8,3.53,4,6,2
133,0.25,Very Good,E,VVS2,59.8,59.0,4.07,4.09,2.44,3,6,5
134,0.42,Good,H,SI1,63.6,57.0,4.79,4.74,3.03,2,2,2
135,1.51,Premium,G,VS1,62.6,60.0,7.19,7.28,4.53,1,3,4
136,0.7,Premium,D,VS2,59.6,61.0,5.8,5.77,3.45,1,5,3
137,0.51,Very Good,G,VVS1,60.1,56.0,5.16,5.35,3.16,3,3,6
138,0.71,Ideal,G,VVS1,62.1,56.0,5.72,5.84,3.59,4,3,6
139,0.51,Ideal,F,VS2,61.3,56.0,5.17,5.14,3.16,4,4,3
140,1.41,Fair,H,I1,64.7,58.0,7.05,7.0,4.55,0,2,1
141,0.6,Premium,E,SI1,61.9,58.0,5.39,5.43,3.35,1,6,2
142,1.25,Ideal,J,VVS2,61.1,57.0,6.91,6.94,4.23,4,0,5
143,0.38,Premium,E,VS1,60.2,58.0,4.71,4.66,2.82,1,6,4
144,0.33,Very Good,E,SI1,63.4,55.0,4.4,4.37,2.78,3,6,2
145,1.01,Good,E,VS2,63.3,58.0,6.35,6.38,4.03,2,6,3
146,2.01,Premium,I,VS2,62.8,58.0,8.01,7.94,5.01,1,1,3
147,0.53,Very Good,G,SI2,62.5,55.0,5.14,5.19,3.23,3,3,0
148,0.41,Ideal,E,VS2,62.3,56.0,4.74,4.77,2.96,4,6,3
149,0.51,Ideal,G,VVS2,60.1,56.0,5.22,5.19,3.13,4,3,5
150,0.3,Ideal,D,VS2,61.8,55.0,4.36,4.32,2.68,4,5,3
151,1.01,Good,F,VS2,63.9,58.0,6.39,6.32,4.06,2,4,3
152,0.71,Ideal,E,SI1,61.5,57.0,5.7,5.75,3.52,4,6,2
153,0.61,Very Good,F,VS2,62.9,58.0,5.33,5.39,3.37,3,4,3
154,0.71,Premium,G,SI2,58.2,60.0,5.91,5.88,3.43,1,3,0
155,0.7,Very Good,F,SI1,59.7,56.9,5.73,5.86,3.46,3,4,2
156,0.32,Very Good,H,SI2,63.1,56.0,4.37,4.34,2.75,3,2,0
157,1.51,Ideal,E,SI2,62.6,53.0,7.4,7.32,4.61,4,6,0
158,0.32,Ideal,H,SI1,61.2,56.0,4.43,4.46,2.72,4,2,2
159,0.33,Ideal,G,VVS1,61.9,55.0,4.45,4.5,2.77,4,3,6
160,0.98,Good,H,SI2,57.9,56.0,6.51,6.47,3.76,2,2,0
161,0.25,Good,D,VVS2,57.5,61.0,4.16,4.19,2.4,2,5,5
162,0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,4,1,3
163,0.32,Ideal,H,VVS2,61.9,55.0,4.37,4.39,2.71,4,2,5
164,0.51,Ideal,E,SI2,61.0,56.0,5.2,5.16,3.16,4,6,0
165,0.33,Ideal,F,VVS2,61.3,56.0,4.46,4.44,2.73,4,4,5
166,1.01,Good,E,SI2,63.9,58.0,6.31,6.37,4.05,2,6,0
167,0.77,Good,H,VVS2,64.3,57.9,5.7,5.86,3.71,2,2,5
168,0.31,Good,E,SI1,63.1,55.0,4.33,4.36,2.74,2,6,2
169,0.9,Premium,G,SI1,60.6,57.0,6.28,6.2,3.78,1,3,2
170,0.55,Ideal,G,VS1,61.0,56.0,5.34,5.32,3.25,4,3,4
171,1.12,Ideal,G,SI2,62.8,54.0,6.7,6.64,4.19,4,3,0
172,1.01,Premium,E,VS2,62.9,58.0,6.39,6.36,4.01,1,6,3
173,1.0,Very Good,G,SI1,59.3,63.0,6.44,6.48,3.83,3,3,2
174,1.06,Premium,F,SI1,62.1,58.0,6.5,6.52,4.04,1,4,2
175,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,4,3,7
176,0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,3,3,6
177,0.31,Premium,H,VS2,62.5,60.0,4.36,4.31,2.71,1,2,3
178,0.56,Very Good,G,VVS2,62.1,55.6,5.29,5.31,3.29,3,3,5
179,0.5,Good,I,SI2,65.3,56.0,4.91,5.01,3.24,2,1,0
180,1.11,Very Good,H,SI1,62.0,56.0,6.61,6.65,4.11,3,2,2
181,0.32,Ideal,F,VVS1,61.7,56.0,4.37,4.42,2.71,4,4,6
182,0.62,Good,J,SI1,59.9,65.0,5.58,5.5,3.32,2,0,2
183,0.51,Premium,E,VS2,59.2,58.0,5.27,5.23,3.11,1,6,3
184,1.32,Ideal,J,VS1,62.5,57.0,7.0,7.04,4.39,4,0,4
185,0.52,Ideal,I,VS2,61.5,56.0,5.19,5.21,3.2,4,1,3
186,0.37,Premium,E,SI1,59.3,58.0,4.73,4.75,2.81,1,6,2
187,1.03,Premium,E,SI1,62.9,56.0,6.49,6.39,4.05,1,6,2
188,0.25,Very Good,D,VS1,63.0,59.0,3.97,4.0,2.51,3,5,4
189,0.31,Good,H,VS2,63.1,58.0,4.27,4.32,2.71,2,2,3
190,0.3,Ideal,H,SI1,62.2,57.0,4.26,4.29,2.66,4,2,2
191,1.0,Fair,F,VS2,64.9,52.0,6.24,6.33,4.08,0,4,3
192,0.71,Very Good,G,SI1,62.3,57.0,5.7,5.76,3.57,3,3,2
193,0.9,Very Good,I,SI2,62.5,58.0,6.1,6.15,3.83,3,1,0
194,2.21,Ideal,G,SI2,61.9,55.0,8.4,8.36,5.19,4,3,0
195,1.5,Very Good,J,VVS2,63.3,57.0,7.28,7.25,4.6,3,0,5
196,0.91,Ideal,I,VS1,62.1,57.0,6.2,6.23,3.86,4,1,4
197,0.23,Very Good,D,VVS2,62.5,58.0,3.92,3.95,2.46,3,5,5
198,0.53,Ideal,D,VS2,61.5,56.0,5.17,5.23,3.2,4,5,3
199,1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,3,6,2
200,1.01,Very Good,E,VS2,60.4,60.0,6.47,6.44,3.9,3,6,3
201,0.33,Ideal,G,VS1,62.1,54.0,4.42,4.47,2.76,4,3,4
202,0.31,Good,D,SI2,63.7,58.0,4.27,4.3,2.73,2,5,0
203,1.46,Very Good,I,SI1,62.5,57.0,7.15,7.19,4.48,3,1,2
204,1.07,Premium,H,SI2,62.2,59.0,6.47,6.53,4.04,1,2,0
205,0.42,Very Good,H,VS2,62.1,54.0,4.81,4.84,2.99,3,2,3
206,0.72,Very Good,D,VS1,62.7,58.0,5.65,5.68,3.55,3,5,4
207,0.3,Ideal,E,VS2,61.3,58.0,4.3,4.32,2.64,4,6,3
208,0.31,Premium,I,SI1,59.6,58.0,4.44,4.39,2.63,1,1,2
209,1.32,Very Good,F,IF,62.4,58.0,6.97,7.01,4.36,3,4,7
210,1.1,Very Good,H,VS2,63.1,57.0,6.6,6.52,4.14,3,2,3
211,1.53,Very Good,H,VS2,60.9,63.0,7.37,7.41,4.5,3,2,3
212,1.0,Premium,I,VS1,60.1,62.0,6.5,6.47,3.9,1,1,4
213,0.4,Good,E,SI1,63.9,58.0,4.67,4.63,2.97,2,6,2
214,0.9,Very Good,G,SI2,63.2,58.0,6.05,6.1,3.84,3,3,0
215,0.5,Very Good,D,SI2,63.1,56.0,5.05,4.96,3.16,3,5,0
216,0.35,Ideal,H,IF,60.9,57.0,4.58,4.6,2.8,4,2,7
217,0.52,Ideal,F,VVS2,61.8,56.0,5.2,5.17,3.2,4,4,5
218,0.7,Good,J,SI2,61.2,64.0,5.68,5.73,3.49,2,0,0
219,0.27,Very Good,F,VVS2,62.5,59.0,4.11,4.15,2.58,3,4,5
220,0.32,Premium,G,VS2,62.6,60.0,4.36,4.33,2.72,1,3,3
221,0.5,Ideal,H,VS1,61.4,54.0,5.13,5.16,3.16,4,2,4
222,0.72,Ideal,D,VS1,62.3,54.0,5.74,5.79,3.59,4,5,4
223,0.51,Good,G,VVS2,63.7,54.0,5.1,5.08,3.24,2,3,5
224,0.34,Ideal,E,SI2,62.4,54.0,4.49,4.52,2.81,4,6,0
225,1.03,Ideal,G,VVS2,60.7,57.0,6.5,6.58,3.97,4,3,5
226,0.33,Ideal,H,VS1,61.7,54.0,4.45,4.47,2.75,4,2,4
227,0.7,Ideal,G,VS2,61.9,56.0,5.68,5.7,3.52,4,3,3
228,0.31,Very Good,I,VS2,60.8,60.0,4.37,4.42,2.67,3,1,3
229,2.06,Premium,G,SI1,59.3,61.0,8.44,8.36,4.98,1,3,2
230,1.2,Premium,J,SI2,61.8,56.0,6.85,6.81,4.22,1,0,0
231,1.01,Good,G,VS1,57.7,63.0,6.55,6.65,3.81,2,3,4
232,0.32,Ideal,E,VS1,59.5,57.0,4.45,4.49,2.66,4,6,4
233,1.5,Very Good,I,SI2,60.8,58.0,7.24,7.34,4.43,3,1,0
234,1.11,Premium,H,SI1,61.1,60.0,6.68,6.62,4.06,1,2,2
235,1.2,Premium,G,SI1,62.2,58.0,6.8,6.7,4.2,1,3,2
236,0.24,Very Good,F,VVS1,62.2,57.0,3.97,4.0,2.48,3,4,6
237,1.54,Premium,E,VS2,60.8,58.0,7.44,7.39,4.51,1,6,3
238,1.55,Premium,H,VS2,61.3,61.0,7.46,7.39,4.55,1,2,3
239,2.06,Premium,G,SI2,60.7,58.0,8.18,8.25,4.99,1,3,0
240,0.32,Ideal,F,VS2,62.8,57.0,4.36,4.33,2.73,4,4,3
241,0.52,Ideal,H,SI2,61.5,56.0,5.17,5.21,3.19,4,2,0
242,0.54,Ideal,F,SI2,61.2,56.0,5.27,5.28,3.23,4,4,0
243,0.71,Good,E,SI1,63.1,59.0,5.62,5.75,3.59,2,6,2
244,1.52,Ideal,I,VS2,62.4,55.0,7.35,7.4,4.6,4,1,3
245,0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,3,6,3
246,0.91,Ideal,E,SI2,61.8,56.0,6.19,6.27,3.85,4,6,0
247,1.0,Ideal,F,SI2,61.0,55.0,6.45,6.41,3.92,4,4,0
248,0.93,Fair,G,SI1,64.4,57.0,6.14,6.09,3.94,0,3,2
249,0.31,Ideal,G,VVS2,61.8,56.0,4.36,4.31,2.68,4,3,5
250,0.32,Ideal,E,VS1,61.6,55.0,4.43,4.46,2.74,4,6,4
251,0.7,Very Good,E,SI1,62.1,60.0,5.62,5.66,3.5,3,6,2
252,0.25,Very Good,E,VVS1,62.9,58.0,4.01,4.03,2.53,3,6,6
253,1.68,Ideal,H,VS2,61.3,56.0,7.77,7.67,4.73,4,2,3
254,1.5,Good,G,SI1,60.2,61.0,7.27,7.32,4.39,2,3,2
255,1.2,Very Good,G,SI1,63.2,59.0,6.77,6.74,4.27,3,3,2
256,0.3,Very Good,E,VVS1,62.6,56.0,4.26,4.27,2.67,3,6,6
257,0.23,Good,D,VVS1,60.3,66.0,3.91,3.95,2.37,2,5,6
258,1.75,Premium,E,SI1,60.3,61.0,7.82,7.74,4.69,1,6,2
259,0.73,Premium,I,SI2,62.0,57.0,5.79,5.76,3.58,1,1,0
260,0.26,Ideal,H,VS2,62.1,55.0,4.08,4.1,2.54,4,2,3
261,1.17,Ideal,F,SI1,62.2,56.0,6.73,6.71,4.18,4,4,2
262,0.23,Very Good,H,VVS2,62.4,55.0,3.91,3.94,2.45,3,2,5
263,0.42,Ideal,D,VVS2,61.4,56.0,4.85,4.82,2.97,4,5,5
264,1.01,Very Good,G,SI1,59.6,61.0,6.47,6.52,3.87,3,3,2
265,1.01,Ideal,E,VVS1,62.0,57.0,6.39,6.45,3.98,4,6,6
266,0.34,Premium,G,VVS1,61.5,59.0,4.5,4.47,2.76,1,3,6
267,1.26,Very Good,I,VS1,61.8,61.0,6.9,6.95,4.28,3,1,4
268,0.39,Premium,F,VS1,61.7,58.0,4.69,4.71,2.9,1,4,4
269,1.58,Premium,D,SI2,59.6,59.0,7.67,7.61,4.55,1,5,0
270,1.01,Very Good,F,VS1,62.5,60.0,6.36,6.41,3.99,3,4,4
271,1.24,Very Good,E,SI1,61.7,59.0,6.85,6.89,4.24,3,6,2
272,0.51,Ideal,E,VS2,60.1,57.0,5.23,5.19,3.13,4,6,3
273,0.4,Ideal,D,VS1,60.6,56.0,4.78,4.82,2.91,4,5,4
274,0.5,Premium,G,VS1,62.1,55.0,5.22,5.06,3.19,1,3,4
275,0.31,Ideal,E,VS2,60.9,57.0,4.34,4.36,2.65,4,6,3
276,0.56,Ideal,H,SI1,61.8,55.0,5.31,5.34,3.29,4,2,2
277,2.0,Premium,I,SI2,60.0,58.0,8.23,8.17,4.92,1,1,0
278,1.23,Very Good,F,SI2,61.9,58.0,6.77,6.79,4.2,3,4,0
279,1.01,Ideal,F,IF,62.0,58.0,6.41,6.46,3.99,4,4,7
280,0.53,Very Good,H,VVS2,61.3,61.0,5.15,5.2,3.17,3,2,5
281,0.32,Ideal,E,VS1,61.0,57.0,4.4,4.42,2.69,4,6,4
282,0.51,Ideal,E,VS2,60.4,57.0,5.15,5.18,3.12,4,6,3
283,0.42,Ideal,D,VVS2,62.1,55.0,4.78,4.81,2.98,4,5,5
284,0.32,Ideal,D,SI1,61.5,56.0,4.41,4.44,2.72,4,5,2
285,0.31,Ideal,D,VVS2,62.0,56.0,4.37,4.34,2.7,4,5,5
286,0.32,Very Good,G,VVS2,62.2,57.0,4.36,4.38,2.72,3,3,5
287,0.44,Premium,G,SI1,61.9,59.0,4.82,4.87,3.0,1,3,2
288,0.3,Very Good,H,VVS2,61.5,57.0,4.32,4.36,2.66,3,2,5
289,0.76,Ideal,H,VS2,62.0,56.0,5.86,5.88,3.64,4,2,3
290,0.3,Ideal,E,VVS1,61.4,56.0,4.37,4.33,2.67,4,6,6
291,0.5,Very Good,G,VVS2,60.7,57.0,5.1,5.14,3.11,3,3,5
292,2.02,Ideal,I,SI2,62.2,57.0,8.06,7.99,4.99,4,1,0
293,0.31,Ideal,G,VS1,61.0,55.0,4.39,4.43,2.69,4,3,4
294,0.42,Premium,D,SI2,60.0,61.0,4.89,4.85,2.92,1,5,0
295,1.1,Ideal,H,SI1,62.0,57.0,6.66,6.7,4.14,4,2,2
296,0.41,Ideal,F,SI1,62.9,56.0,4.73,4.71,2.97,4,4,2
297,1.02,Very Good,D,SI1,62.7,57.0,6.42,6.5,4.05,3,5,2
298,1.04,Premium,E,SI2,61.0,60.0,6.57,6.52,3.99,1,6,0
299,0.52,Ideal,G,SI1,62.2,54.0,5.16,5.19,3.22,4,3,2
300,1.07,Ideal,G,VS1,61.8,55.0,6.55,6.59,4.06,4,3,4
301,0.4,Ideal,E,VVS1,62.6,56.0,4.7,4.73,2.95,4,6,6
302,0.38,Very Good,E,VVS2,59.7,63.0,4.71,4.73,2.82,3,6,5
303,1.03,Ideal,F,VS1,62.1,55.0,6.47,6.5,4.03,4,4,4
304,0.3,Very Good,G,SI1,62.4,54.0,4.33,4.35,2.71,3,3,2
305,0.31,Premium,D,VS2,62.6,59.0,4.33,4.3,2.7,1,5,3
306,0.51,Premium,E,VS2,61.3,58.0,5.15,5.13,3.15,1,6,3
307,2.01,Ideal,H,SI2,62.3,57.0,8.1,8.04,5.03,4,2,0
308,1.21,Very Good,F,VS1,61.1,61.0,6.79,6.87,4.17,3,4,4
309,1.23,Ideal,G,VS2,62.4,57.0,6.88,6.83,4.28,4,3,3
310,1.01,Premium,H,SI1,61.2,58.0,6.43,6.47,3.95,1,2,2
311,0.31,Premium,F,VS2,61.7,58.0,4.34,4.38,2.69,1,4,3
312,0.4,Good,E,SI1,63.9,58.0,4.63,4.67,2.97,2,6,2
313,0.9,Ideal,G,VS2,62.0,57.0,6.19,6.22,3.85,4,3,3
314,1.23,Ideal,H,VVS2,61.3,55.0,6.9,6.94,4.24,4,2,5
315,1.19,Ideal,H,I1,60.3,57.0,6.93,6.83,4.15,4,2,1
316,0.3,Ideal,G,SI2,61.9,57.0,4.28,4.31,2.66,4,3,0
317,2.01,Good,E,SI2,60.0,64.0,8.09,8.17,4.88,2,6,0
318,0.3,Premium,G,VS1,61.9,59.0,4.28,4.32,2.66,1,3,4
319,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,3,4,3
320,0.9,Very Good,H,VS1,61.8,56.0,6.16,6.18,3.81,3,2,4
321,1.05,Very Good,H,VS1,63.3,57.0,6.45,6.4,4.07,3,2,4
322,0.3,Very Good,D,VS1,63.2,59.0,4.26,4.29,2.7,3,5,4
323,1.26,Ideal,F,VS2,61.5,56.0,6.97,7.01,4.3,4,4,3
324,1.05,Premium,E,SI2,60.4,58.0,6.59,6.55,3.97,1,6,0
